epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1842.06,0.89479,1.16437,1.13824,0.92368,0.8881,0.96567,0.74672,0.79759,0.99239,1.18436,0.000312497,0.000312497,0.000312497
43,1886.04,0.84807,1.08434,1.08574,0.94851,0.87538,0.957,0.74657,0.77537,1.00435,1.14145,0.000307289,0.000307289,0.000307289
44,1930.2,0.84004,1.12326,1.0907,0.89814,0.91033,0.96151,0.74658,0.77781,0.98924,1.14253,0.000302082,0.000302082,0.000302082
45,1973.96,0.83133,1.12134,1.06697,0.93005,0.87938,0.96841,0.75983,0.7782,0.97072,1.13893,0.000296874,0.000296874,0.000296874
46,2018.32,0.82299,1.0658,1.06971,0.84431,0.9056,0.9605,0.76739,0.7727,0.95459,1.14823,0.000291667,0.000291667,0.000291667
47,2061.97,0.79673,1.05941,1.06298,0.8698,0.90936,0.96472,0.77601,0.76469,0.94072,1.13177,0.00028646,0.00028646,0.00028646
48,2105.96,0.89486,1.12382,1.11925,0.8811,0.91716,0.96889,0.7652,0.77676,0.95277,1.1121,0.000281252,0.000281252,0.000281252
49,2149.36,0.88638,1.07994,1.10024,0.85905,0.91231,0.94791,0.70471,0.91038,1.02463,1.13752,0.000276045,0.000276045,0.000276045
50,2192.82,0.83405,1.0607,1.08839,0.87438,0.88685,0.94637,0.69994,0.92021,1.03637,1.14362,0.000270837,0.000270837,0.000270837
51,2236.08,0.77276,1.05402,1.04765,0.9004,0.91358,0.95349,0.76115,0.77905,0.93912,1.152,0.00026563,0.00026563,0.00026563
52,2279.66,0.85423,1.06684,1.1166,0.94314,0.87489,0.96215,0.7655,0.77801,0.91962,1.15858,0.000260423,0.000260423,0.000260423
53,2323.43,0.79002,1.00076,1.06571,0.92576,0.9202,0.97296,0.77671,0.77792,0.88786,1.1553,0.000255215,0.000255215,0.000255215
54,2367.04,0.75538,0.99833,1.05063,0.92472,0.93757,0.98408,0.76351,0.79417,0.89073,1.13896,0.000250008,0.000250008,0.000250008
