                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3735,                 2.9993,                 2.9936,                0.24948,                0.26152,                0.21113,                0.08805,                 1.9139,                 2.7176,                 2.7141,             0.00034895,             0.00034895,             0.00034895
                     36,                 2.3569,                 2.9439,                 2.9467,                 0.3099,                0.24391,                0.21851,                 0.0884,                 1.9637,                 2.7072,                 2.7305,             0.00034374,             0.00034374,             0.00034374
                     37,                 2.3194,                 2.9939,                 2.9121,                0.26068,                0.28693,                0.22392,                0.08818,                  1.961,                 2.6807,                 2.7201,             0.00033853,             0.00033853,             0.00033853
                     38,                 2.3458,                 2.9317,                 2.9393,                0.18862,                0.32632,                0.23404,                 0.0979,                 1.9147,                 2.6451,                 2.6762,             0.00033333,             0.00033333,             0.00033333
                     39,                  2.222,                 2.8675,                 2.8151,                0.25301,                 0.3646,                0.24686,                0.11407,                 1.8287,                 2.6115,                 2.6101,             0.00032812,             0.00032812,             0.00032812
                     40,                  2.217,                 2.8287,                 2.8374,                0.24836,                0.39494,                0.24198,                0.11207,                 1.7994,                 2.5925,                 2.5802,             0.00032291,             0.00032291,             0.00032291
                     41,                 2.2573,                 2.8712,                 2.8982,                0.25557,                 0.3308,                0.25636,                0.11663,                 1.8084,                 2.5808,                   2.59,              0.0003177,              0.0003177,              0.0003177
                     42,                 2.2785,                 2.8443,                 2.8013,                 0.3293,                0.29994,                0.25913,                0.11111,                 1.8618,                 2.5835,                 2.6249,              0.0003125,              0.0003125,              0.0003125
                     43,                 2.1757,                  2.783,                 2.7715,                0.23522,                0.29872,                0.26829,                0.12227,                 1.7658,                 2.5788,                 2.5531,             0.00030729,             0.00030729,             0.00030729
                     44,                 2.1881,                 2.8976,                   2.79,                0.22388,                0.30016,                0.27035,                0.12618,                 1.7168,                  2.572,                 2.5394,             0.00030208,             0.00030208,             0.00030208
                     45,                 2.1072,                  2.791,                 2.7365,                0.24208,                 0.2742,                0.26832,                0.12586,                 1.7126,                 2.5435,                 2.5325,             0.00029687,             0.00029687,             0.00029687
                     46,                 2.2036,                 2.8177,                 2.7582,                0.28487,                0.24971,                0.26322,                0.12368,                  1.738,                 2.5634,                  2.542,             0.00029167,             0.00029167,             0.00029167
                     47,                 2.1211,                 2.7848,                   2.77,                0.27658,                 0.2007,                 0.2724,                0.12694,                 1.7534,                 2.5725,                 2.5517,             0.00028646,             0.00028646,             0.00028646
                     48,                 2.0474,                 2.7944,                 2.7053,                0.28633,                0.17323,                0.27692,                0.13123,                 1.7494,                 2.5749,                 2.5418,             0.00028125,             0.00028125,             0.00028125
                     49,                 2.0792,                 2.7992,                 2.7172,                0.34206,                0.20675,                0.29033,                 0.1388,                 1.7485,                 2.5529,                 2.5333,             0.00027604,             0.00027604,             0.00027604
                     50,                 2.1003,                 2.7524,                 2.7077,                0.33052,                0.22145,                0.28631,                0.14004,                 1.7242,                   2.53,                 2.5138,             0.00027084,             0.00027084,             0.00027084
                     51,                   1.99,                 2.7275,                 2.6368,                0.24295,                0.26687,                0.28127,                0.14139,                 1.6785,                 2.4632,                 2.4579,             0.00026563,             0.00026563,             0.00026563
                     52,                 2.0709,                 2.6863,                 2.6242,                 0.2465,                0.29213,                 0.2846,                0.14477,                  1.674,                 2.4215,                 2.4346,             0.00026042,             0.00026042,             0.00026042
                     53,                 1.9792,                 2.7363,                 2.6086,                0.16996,                0.31094,                0.26685,                0.14274,                  1.649,                 2.4168,                 2.4307,             0.00025522,             0.00025522,             0.00025522
                     54,                 1.9685,                 2.7241,                 2.6076,                0.20141,                0.32488,                0.27247,                0.14395,                 1.6281,                 2.4137,                 2.4049,             0.00025001,             0.00025001,             0.00025001
                     55,                 1.9009,                 2.6747,                 2.5667,                0.19881,                0.31411,                0.27084,                0.14439,                 1.6153,                 2.3889,                 2.3664,              0.0002448,              0.0002448,              0.0002448
                     56,                 1.9282,                 2.6734,                 2.5434,                0.20622,                0.33431,                0.27923,                0.14947,                 1.6098,                 2.3768,                 2.3343,             0.00023959,             0.00023959,             0.00023959
                     57,                 1.9367,                 2.6127,                 2.5613,                 0.1986,                0.39782,                0.27692,                0.14272,                 1.6333,                 2.3842,                 2.3192,             0.00023439,             0.00023439,             0.00023439
                     58,                  1.942,                 2.6599,                 2.5647,                0.17577,                0.46122,                0.27644,                0.13265,                  1.666,                  2.388,                 2.3207,             0.00022918,             0.00022918,             0.00022918
                     59,                 1.9545,                 2.6443,                 2.5272,                0.19636,                0.42927,                0.29098,                0.14183,                 1.6613,                 2.3293,                 2.2959,             0.00022397,             0.00022397,             0.00022397
                     60,                 1.8596,                 2.5581,                 2.4417,                0.21975,                0.40187,                0.31053,                0.15977,                 1.6343,                 2.2942,                  2.269,             0.00021876,             0.00021876,             0.00021876
                     61,                 1.8986,                 2.5877,                 2.4962,                0.22905,                0.38054,                0.31472,                0.17118,                 1.5789,                 2.2839,                  2.244,             0.00021356,             0.00021356,             0.00021356
                     62,                 1.8672,                 2.5984,                 2.5134,                 0.2189,                0.36438,                0.32148,                 0.1826,                 1.5215,                 2.2689,                 2.2162,             0.00020835,             0.00020835,             0.00020835
                     63,                  1.856,                 2.5875,                 2.4959,                 0.2015,                0.35607,                0.31945,                0.17893,                 1.5264,                  2.278,                 2.2126,             0.00020314,             0.00020314,             0.00020314
                     64,                 1.8478,                 2.5597,                 2.4534,                0.21822,                0.32073,                0.31722,                0.17463,                  1.521,                 2.3148,                   2.22,             0.00019793,             0.00019793,             0.00019793
                     65,                 1.8922,                 2.5412,                  2.441,                   0.27,                0.32677,                0.33154,                0.18364,                 1.5041,                 2.3268,                 2.2053,             0.00019273,             0.00019273,             0.00019273
                     66,                 1.8494,                 2.6062,                 2.4587,                0.25673,                0.37869,                0.32084,                0.17187,                 1.4781,                  2.296,                 2.1781,             0.00018752,             0.00018752,             0.00018752
                     67,                 1.8616,                 2.5564,                 2.4423,                0.22676,                 0.4995,                0.32273,                0.17713,                 1.4861,                 2.2134,                 2.1401,             0.00018231,             0.00018231,             0.00018231
                     68,                 1.8262,                 2.5185,                 2.3851,                 0.2166,                0.49311,                0.32038,                0.18233,                 1.4978,                 2.1982,                 2.1354,              0.0001771,              0.0001771,              0.0001771
                     69,                 1.9144,                 2.5919,                 2.5332,                0.21115,                  0.483,                 0.3229,                0.18462,                 1.4937,                 2.1985,                 2.1306,              0.0001719,              0.0001719,              0.0001719
                     70,                 1.8232,                 2.5383,                 2.4235,                0.21361,                 0.4352,                0.31818,                 0.1775,                  1.488,                 2.2204,                 2.1313,             0.00016669,             0.00016669,             0.00016669
                     71,                 1.8058,                  2.525,                 2.3863,                0.23421,                0.45305,                 0.3354,                  0.188,                 1.4655,                 2.2105,                 2.1248,             0.00016148,             0.00016148,             0.00016148
                     72,                 1.8044,                  2.558,                 2.4332,                0.24523,                0.43047,                 0.3372,                 0.1896,                 1.4697,                 2.2109,                 2.1362,             0.00015627,             0.00015627,             0.00015627
                     73,                 1.8575,                 2.5404,                 2.4759,                0.25606,                0.40752,                0.33845,                0.19265,                 1.4689,                 2.2168,                 2.1476,             0.00015107,             0.00015107,             0.00015107
                     74,                 1.8725,                 2.5445,                 2.4834,                0.25754,                0.41129,                0.33079,                0.18624,                 1.4634,                 2.2063,                 2.1344,             0.00014586,             0.00014586,             0.00014586
                     75,                 1.7361,                 2.5089,                 2.3535,                0.24913,                0.43133,                0.32009,                0.18748,                 1.4241,                 2.1807,                 2.0848,             0.00014065,             0.00014065,             0.00014065
                     76,                 1.8162,                 2.5074,                 2.4002,                0.22844,                0.45596,                0.31584,                0.18822,                 1.4191,                 2.1711,                 2.0763,             0.00013544,             0.00013544,             0.00013544
                     77,                 1.7658,                 2.4297,                 2.3547,                0.20483,                0.43847,                0.31242,                0.18486,                  1.408,                 2.1595,                 2.0683,             0.00013024,             0.00013024,             0.00013024
                     78,                 1.8111,                 2.5638,                 2.4328,                0.20361,                0.43413,                0.32224,                0.19348,                 1.3999,                  2.153,                 2.0661,             0.00012503,             0.00012503,             0.00012503
                     79,                 1.7329,                 2.5437,                  2.405,                0.20324,                0.44508,                0.33029,                0.20146,                 1.3789,                 2.1596,                 2.0598,             0.00011982,             0.00011982,             0.00011982
                     80,                 1.7785,                 2.4981,                 2.3739,                0.22068,                0.40542,                0.33495,                0.20355,                  1.379,                 2.1475,                  2.046,             0.00011462,             0.00011462,             0.00011462
