                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1279,                  1.211,                 1.4101,                0.77797,                0.85917,                0.91198,                0.65721,                 1.0145,                0.81727,                 1.3471,             0.00041144,             0.00041144,             0.00041144
                     35,                 1.1319,                 1.2017,                  1.409,                0.82497,                0.84781,                0.91675,                0.66631,                0.97943,                0.74639,                 1.3316,             0.00040797,             0.00040797,             0.00040797
                     36,                 1.1171,                 1.1728,                 1.4037,                0.85894,                 0.8584,                0.91881,                0.65999,                0.98066,                0.69467,                 1.3756,             0.00040449,             0.00040449,             0.00040449
                     37,                 1.1313,                 1.2075,                 1.4169,                0.79466,                0.86726,                 0.9122,                0.66739,                0.96684,                  0.782,                  1.337,             0.00040102,             0.00040102,             0.00040102
                     38,                 1.1227,                 1.1715,                 1.4051,                0.72524,                0.82443,                0.85619,                0.62521,                 0.9959,                0.96871,                 1.3241,             0.00039755,             0.00039755,             0.00039755
                     39,                 1.1121,                 1.1552,                  1.408,                0.82489,                0.85801,                 0.9142,                 0.6699,                0.97134,                0.72279,                 1.3367,             0.00039408,             0.00039408,             0.00039408
                     40,                 1.1098,                 1.1085,                 1.3913,                0.83065,                 0.8496,                0.91165,                0.66431,                0.95981,                0.71471,                 1.3442,             0.00039061,             0.00039061,             0.00039061
                     41,                 1.1279,                  1.135,                 1.4034,                0.88158,                0.89586,                0.94604,                0.69043,                0.98492,                0.64403,                 1.3232,             0.00038714,             0.00038714,             0.00038714
                     42,                 1.1099,                 1.1345,                 1.4013,                0.82881,                0.84768,                 0.9308,                0.69175,                0.94477,                0.72479,                 1.3061,             0.00038366,             0.00038366,             0.00038366
                     43,                 1.1021,                 1.1297,                 1.3929,                0.83055,                 0.8426,                0.90728,                 0.6674,                0.97878,                0.77262,                 1.3178,             0.00038019,             0.00038019,             0.00038019
                     44,                 1.0983,                 1.0959,                 1.3759,                0.88565,                0.87155,                0.94907,                0.69394,                 0.9504,                 0.6484,                 1.3493,             0.00037672,             0.00037672,             0.00037672
                     45,                 1.1082,                 1.0981,                 1.3947,                0.89191,                0.90101,                0.96359,                0.70858,                0.95749,                0.60649,                 1.3454,             0.00037325,             0.00037325,             0.00037325
                     46,                 1.1111,                  1.085,                 1.3785,                0.63841,                0.81674,                0.78007,                0.56925,                0.98043,                 1.1144,                 1.3291,             0.00036978,             0.00036978,             0.00036978
                     47,                 1.0798,                 1.0616,                 1.3569,                0.87647,                 0.8902,                0.94982,                 0.7102,                0.94404,                0.62205,                 1.3028,             0.00036631,             0.00036631,             0.00036631
                     48,                 1.0902,                 1.0337,                 1.3614,                0.57261,                0.77046,                 0.7106,                0.51684,                0.93661,                 1.3213,                 1.3149,             0.00036283,             0.00036283,             0.00036283
                     49,                 1.0888,                 1.0481,                 1.3762,                0.77719,                0.86017,                0.89844,                0.64587,                0.97939,                0.80958,                 1.3635,             0.00035936,             0.00035936,             0.00035936
                     50,                 1.0862,                 1.0379,                 1.3701,                0.90099,                0.91438,                 0.9636,                0.71508,                0.94985,                0.58479,                 1.3056,             0.00035589,             0.00035589,             0.00035589
